Name,MODEL,Classification,SPAN,AILERON_BIAS,AoA_CL_Max,OFFSET,CONTROL_CHANNEL_FLAPS,CL_Max,CL_Max_CD0_Min,LASTTWO,CHORD,TUBE_OFFSET,CL_LD_Max,SERVO_WIDTH,AoA_L0,dCl_dAoA_Slope,CONTROL_CHANNEL_AILERONS,DIAMETER,LD_Max,SERVO_LENGTH,CD0_Min,CD_Min,CM0,FLAP_BIAS,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_CHORD,CREO_SPAN,CREO_LASTTWO,CREO_DIAMETER,CREO_OFFSET,CREO_SERVO_LENGTH,CREO_SERVO_WIDTH,CREO_TUBE_OFFSET
right_NACA_4306,NACA_4306,Wing,1016.0,0.5,10.0,50.0,6,1.2,150.0,6.0,304.8,50.0,0.38,32.8,-3.8,0.103,7,10.16,23.7,25.7,0.008,0.0094,-0.075,0.5,321900.0607698336,2.76799e-08,5263.822792879338,2368.7624952817964,-0.16199359496257243,2368.7624952817964,1782.2521822741019,0.3782571006340878,-0.16199359496257243,0.3782571006340878,7043.51447566054,1319.5114915919708,-1.0360085719312337,-0.015638925704459128,-1.0360085719312337,358.44341043804945,0.13466323693198143,-0.015638925704459128,0.13466323693198143,1675.3944326249948,304.8,1016.0,6.0,10.16,50.0,25.7,32.8,50.0
left_NACA_0018,NACA_0018,Wing,1016.0,-0.5,17.0,50.0,6,1.49,138.0,18.0,304.8,50.0,0.4,32.8,0.0,0.098,7,10.16,19.8,25.7,0.0108,0.0108,-0.002,0.5,353650.6224348092,2.76799e-08,15822.19307256614,-7106.287050372183,-1.4579419800095357,-7106.287050372183,5377.482247564129,-3.404313669681061,-1.4579419800095357,-3.404313669681061,21130.5418395076,3989.259541681135,3.1081301916519806,-0.14075113618556334,3.1081301916519806,1106.0557037692192,-1.211970893456411,-0.14075113618556334,-1.211970893456411,5026.182577198854,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2409,NACA_2409,Wing,1016.0,0.5,14.0,50.0,6,1.51,189.0,9.0,304.8,50.0,0.36,32.8,-1.7,0.103,7,10.16,23.1,25.7,0.008,0.0082,-0.044,0.5,329137.68680601526,2.76799e-08,7898.134558333412,3553.1437058306183,-0.364485380551417,3553.1437058306183,2675.7787125490518,0.8510782486608897,-0.364485380551417,0.8510782486608897,10565.271585199476,1981.6676402018086,-1.5540127984208993,-0.03518772895972727,-1.5540127984208993,540.0655488470181,0.3029926449453155,-0.03518772895972727,0.3029926449453155,2513.0916049121975,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
right_NACA_6212,NACA_6212,Wing,1016.0,0.5,14.0,50.0,6,1.75,173.0,12.0,304.8,50.0,0.44,32.8,-5.2,0.1,7,10.16,20.9,25.7,0.0101,0.0117,-0.087,0.5,336888.98614575673,2.76799e-08,10535.326760514363,4737.52486938158,-0.6479739975587823,4737.52486938158,3572.1857676700597,1.513027963840647,-0.6479739975587823,1.513027963840647,14087.028532860866,2646.7042694472225,-2.072017111898276,-0.06255596243234762,-2.072017111898276,724.5682065539365,0.5386535774283024,-0.06255596243234762,0.5386535774283023,3350.7887213800723,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4518,NACA_4518,Wing,1016.0,0.5,17.0,50.0,6,1.54,123.0,18.0,304.8,50.0,0.43,32.8,-3.9,0.096,7,10.16,18.4,25.7,0.0125,0.0126,-0.094,0.5,353650.62243480934,2.76799e-08,15822.193033853362,7106.286980007507,-1.4579419800092634,7106.286980007507,5377.482144995367,3.4043136696810485,-1.4579419800092634,3.4043136696810485,21130.541698302764,3989.259606359789,-3.1080285028219805,-0.14075116190120607,-3.1080285028219805,1106.0557706228524,1.2119709023573932,-0.14075116190120607,1.2119709023573932,5026.182708807844,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
right_NACA_6521,NACA_6521,Wing,1016.0,0.5,19.0,50.0,6,1.49,97.0,21.0,304.8,50.0,0.47,32.8,-5.3,0.094,7,10.16,16.0,25.7,0.0154,0.0155,-0.129,0.5,362560.88603583944,2.76799e-08,18473.787265951385,8290.667852413502,-1.9844211267061032,8290.667852413502,6288.291779813867,4.6336495615012225,-1.9844211267061032,4.6336495615012225,24652.297643738184,4668.698583051917,-3.626033186659697,-0.19157794102189896,-3.626033186659697,1304.9610124716683,1.649627249550826,-0.19157794102189896,1.6496272495508264,5863.879483512071,304.8,1016.0,21.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2421,NACA_2421,Wing,1016.0,0.5,16.0,50.0,6,1.35,106.0,21.0,304.8,50.0,0.43,32.8,-1.7,0.097,7,10.16,17.9,25.7,0.0127,0.0128,-0.036,0.5,362560.88603583944,2.76799e-08,18473.787265951385,8290.667852413502,-1.9844211267061032,8290.667852413502,6288.291779813867,4.6336495615012225,-1.9844211267061032,4.6336495615012225,24652.297643738184,4668.698583051917,-3.626033186659697,-0.19157794102189896,-3.626033186659697,1304.9610124716683,1.649627249550826,-0.19157794102189896,1.6496272495508264,5863.879483512071,304.8,1016.0,21.0,10.16,50.0,25.7,32.8,50.0
left_NACA_0006,NACA_0006,Wing,1016.0,-0.5,13.0,50.0,6,0.88,135.0,6.0,304.8,50.0,0.31,32.8,-0.1,0.102,7,10.16,23.8,25.7,0.0065,0.0065,-0.002,0.5,321900.0607698336,2.76799e-08,5263.822805551571,-2368.7625185585675,-0.16199358589885876,-2368.7625185585675,1782.2522163020687,-0.3782570898733411,-0.16199358589885876,-0.3782570898733411,7043.514522359168,1319.5114695872007,1.0360426486076904,-0.015638928887285186,1.0360426486076904,358.4433880661092,-0.1346632503082952,-0.015638928887285186,-0.1346632503082952,1675.3943882467058,304.8,1016.0,6.0,10.16,50.0,25.7,32.8,50.0
left_NACA_4612,NACA_4612,Wing,1016.0,-0.5,17.0,50.0,6,1.76,178.0,12.0,304.8,50.0,0.41,32.8,-4.6,0.098,7,10.16,21.1,25.7,0.0099,0.0105,-0.124,0.5,336888.9861457566,2.76799e-08,10535.326786310197,-4737.5249162926575,-0.6479739975586274,-4737.5249162926575,3572.1858360362307,-1.5130279638406123,-0.6479739975586274,-1.5130279638406123,14087.028627000105,2646.7042263172134,2.072084903198629,-0.06255595100315658,2.072084903198629,724.5681619711559,-0.5386535734729262,-0.06255595100315658,-0.5386535734729262,3350.788633644517,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2521,NACA_2521,Wing,1016.0,0.5,16.0,50.0,6,1.38,109.0,21.0,304.8,50.0,0.44,32.8,-1.8,0.095,7,10.16,17.7,25.7,0.0126,0.0126,-0.043,0.5,362560.88603583944,2.76799e-08,18473.787265951385,8290.667852413502,-1.9844211267061032,8290.667852413502,6288.291779813867,4.6336495615012225,-1.9844211267061032,4.6336495615012225,24652.297643738184,4668.698583051917,-3.626033186659697,-0.19157794102189896,-3.626033186659697,1304.9610124716683,1.649627249550826,-0.19157794102189896,1.6496272495508264,5863.879483512071,304.8,1016.0,21.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4409,NACA_4409,Wing,1016.0,0.5,15.0,50.0,6,1.6,186.0,9.0,304.8,50.0,0.4,32.8,-3.6,0.103,7,10.16,22.9,25.7,0.0086,0.0092,-0.086,0.5,329137.68680601526,2.76799e-08,7898.134558333412,3553.1437058306183,-0.364485380551417,3553.1437058306183,2675.7787125490518,0.8510782486608897,-0.364485380551417,0.8510782486608897,10565.271585199476,1981.6676402018086,-1.5540127984208993,-0.03518772895972727,-1.5540127984208993,540.0655488470181,0.3029926449453155,-0.03518772895972727,0.3029926449453155,2513.0916049121975,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2418,NACA_2418,Wing,1016.0,0.5,15.0,50.0,6,1.43,128.0,18.0,304.8,50.0,0.42,32.8,-1.9,0.098,7,10.16,19.4,25.7,0.0112,0.0113,-0.037,0.5,353650.62243480934,2.76799e-08,15822.193033853362,7106.286980007507,-1.4579419800092634,7106.286980007507,5377.482144995367,3.4043136696810485,-1.4579419800092634,3.4043136696810485,21130.541698302764,3989.259606359789,-3.1080285028219805,-0.14075116190120607,-3.1080285028219805,1106.0557706228524,1.2119709023573932,-0.14075116190120607,1.2119709023573932,5026.182708807844,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
right_NACA_0018,NACA_0018,Wing,1016.0,0.5,17.0,50.0,6,1.49,138.0,18.0,304.8,50.0,0.4,32.8,0.0,0.098,7,10.16,19.8,25.7,0.0108,0.0108,-0.002,0.5,353650.62243480934,2.76799e-08,15822.193033853362,7106.286980007507,-1.4579419800092634,7106.286980007507,5377.482144995367,3.4043136696810485,-1.4579419800092634,3.4043136696810485,21130.541698302764,3989.259606359789,-3.1080285028219805,-0.14075116190120607,-3.1080285028219805,1106.0557706228524,1.2119709023573932,-0.14075116190120607,1.2119709023573932,5026.182708807844,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
left_NACA_0012,NACA_0012,Wing,1016.0,-0.5,17.0,50.0,6,1.53,184.0,12.0,304.8,50.0,0.37,32.8,0.0,0.101,7,10.16,22.2,25.7,0.0083,0.0083,-0.002,0.5,336888.9861457566,2.76799e-08,10535.326786310197,-4737.5249162926575,-0.6479739975586274,-4737.5249162926575,3572.1858360362307,-1.5130279638406123,-0.6479739975586274,-1.5130279638406123,14087.028627000105,2646.7042263172134,2.072084903198629,-0.06255595100315658,2.072084903198629,724.5681619711559,-0.5386535734729262,-0.06255595100315658,-0.5386535734729262,3350.788633644517,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
left_NACA_2409,NACA_2409,Wing,1016.0,-0.5,14.0,50.0,6,1.51,189.0,9.0,304.8,50.0,0.36,32.8,-1.7,0.103,7,10.16,23.1,25.7,0.008,0.0082,-0.044,0.5,329137.6868060152,2.76799e-08,7898.13457785144,-3553.143741166426,-0.3644853807051135,-3553.143741166426,2675.778763964213,-0.851078248737857,-0.3644853807051135,-0.851078248737857,10565.271656120463,1981.667608241635,1.5540635002421368,-0.03518772244589918,1.5540635002421368,540.0655154593949,-0.3029926424218219,-0.03518772244589918,-0.3029926424218219,2513.091539552198,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
