Name,MODEL,Classification,HUB_THICKNESS,DIAMETER,Direction,Performance_File,SHAFT_DIAMETER,PITCH,WEIGHT,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_DIAMETER,CREO_PITCH,CREO_HUB_THICKNESS,CREO_SHAFT_DIAMETER,CREO_WEIGHT,CREO_PROP_OFFSET,CREO_PTC_MATERIAL_NAME
apc_propellers_7x6SF,apc_propellers_7x6SF,Propeller,8.13,177.8,1.0,PER3_7x6SF.dat,6.35,152.4,0.00513,54297.396971266724,8.673387038414953e-09,3.4977230525383924,0.0,0.0,0.0,3.497723269835235,0.0,0.0,0.0,6.918397110918993,3.4129537782883923,0.0,0.0,0.0,3.412953995585235,0.0,0.0,0.0,6.918397110918993,,,177.8,152.4,8.13,6.35,0.00513,0.0,AIR_STP_TABLE
apc_propellers_16x5_5MRP,apc_propellers_16x5_5MRP,Propeller,9.4,406.4,-1.0,PER3_16x55MR.dat,6.35,139.7,0.04395,271559.7991200622,2.1800639822322718e-07,2751.812599623016,0.0,0.0,0.0,2751.812773554122,0.0,0.0,0.0,5487.970383715658,2750.841744123016,0.0,0.0,0.0,2750.841918054122,0.0,0.0,0.0,5487.970383715658,,,406.4,139.7,9.4,6.35,0.04395,0.0,AIR_STP_TABLE
apc_propellers_11x4_6SF,apc_propellers_11x4_6SF,Propeller,5.59,279.4,1.0,PER3_11x46SF.dat,6.35,116.84,0.009980000000000001,127578.0709699741,8.18674851388961e-09,13.71905907090422,0.0,0.0,0.0,13.719059937623129,0.0,0.0,0.0,27.379697345481553,13.64109506140422,0.0,0.0,0.0,13.641095928123129,0.0,0.0,0.0,27.379697345481553,,,279.4,116.84,5.59,6.35,0.009980000000000001,0.0,AIR_STP_TABLE
apc_propellers_13x9,apc_propellers_13x9,Propeller,14.99,330.2,1.0,PER3_13x9.dat,7.94,228.6,0.06096,187091.94839652028,1.7795690712393724e-07,1573.7624337494344,0.0,0.0,0.0,1573.7625322652316,0.0,0.0,0.0,3113.32534282213,1570.3380042254346,0.0,0.0,0.0,1570.3381027412318,0.0,0.0,0.0,3113.32534282213,,,330.2,228.6,14.99,7.94,0.06096,0.0,AIR_STP_TABLE
apc_propellers_7x5SF,apc_propellers_7x5SF,Propeller,8.89,177.8,1.0,PER3_7x5SF.dat,6.35,127.0,0.00513,54737.075429507226,3.998737539782863e-09,1.7671194838727349,0.0,0.0,0.0,1.76711959341931,0.0,0.0,0.0,3.4877943927248047,1.6657608156227348,0.0,0.0,0.0,1.66576092516931,0.0,0.0,0.0,3.4877943927248047,,,177.8,127.0,8.89,6.35,0.00513,0.0,AIR_STP_TABLE
apc_propellers_9x8,apc_propellers_9x8,Propeller,11.68,228.6,1.0,PER3_9x8.dat,6.35,203.2,0.02409,90644.48200437108,1.0927880696541604e-07,173.4817056936167,0.0,0.0,0.0,173.48171650580568,0.0,0.0,0.0,342.20261806226046,172.6601017896167,0.0,0.0,0.0,172.66011260180568,0.0,0.0,0.0,342.20261806226046,,,228.6,203.2,11.68,6.35,0.02409,0.0,AIR_STP_TABLE
apc_propellers_15x6,apc_propellers_15x6,Propeller,13.46,381.0,1.0,PER3_15x6.dat,7.94,152.4,0.07598,244365.9904269761,1.5861685919586505e-07,2223.0238429057686,0.0,0.0,0.0,2223.023982780248,0.0,0.0,0.0,4416.66155709042,2219.5824883637683,0.0,0.0,0.0,2219.5826282382477,0.0,0.0,0.0,4416.66155709042,,,381.0,152.4,13.46,7.94,0.07598,0.0,AIR_STP_TABLE
apc_propellers_5_25x6_25E,apc_propellers_5_25x6_25E,Propeller,7.62,133.35,1.0,PER3_525x625E.dat,6.35,158.75,0.0039900000000000005,31213.18071240588,2.601217449464634e-09,0.31300600211125046,0.0,0.0,0.0,0.3130060210448343,0.0,0.0,0.0,0.6153204817536682,0.25508676311125045,0.0,0.0,0.0,0.2550867820448343,0.0,0.0,0.0,0.6153204817536682,,,133.35,158.75,7.62,6.35,0.0039900000000000005,0.0,AIR_STP_TABLE
apc_propellers_12x10W,apc_propellers_12x10W,Propeller,13.72,304.8,1.0,PER3_12x10W.dat,7.94,254.0,0.05189,159312.6484633275,4.886958948972862e-07,2871.35658570152,0.0,0.0,0.0,2871.3567653481923,0.0,0.0,0.0,5681.360498133683,2868.91466305752,0.0,0.0,0.0,2868.9148427041923,0.0,0.0,0.0,5681.360498133683,,,304.8,254.0,13.72,7.94,0.05189,0.0,AIR_STP_TABLE
apc_propellers_8x4,apc_propellers_8x4,Propeller,10.16,203.2,1.0,PER3_8x4.dat,6.35,101.6,0.015880000000000002,71483.75761367953,1.5873452268751607e-08,13.676536776903697,0.0,0.0,0.0,13.676537628030893,0.0,0.0,0.0,26.9935120461026,13.266731144903698,0.0,0.0,0.0,13.266731996030893,0.0,0.0,0.0,26.9935120461026,,,203.2,101.6,10.16,6.35,0.015880000000000002,0.0,AIR_STP_TABLE
